Date,Open,High,Low,Close,Adj Close,Volume
2024-01-23,4081.24,4107.52,4081.24,4107.52,4107.52,119590000
2024-01-22,4083.50,4096.20,4073.61,4081.24,4081.24,83340000
2024-01-18,4090.64,4097.24,4047.56,4052.78,4052.78,95960000
2024-01-17,4082.34,4091.53,4056.93,4090.64,4090.64,107470000
2024-01-16,4102.18,4105.84,4072.83,4082.34,4082.34,119860000
2024-01-15,4104.11,4114.07,4091.06,4101.29,4101.29,77350000
2024-01-11,4128.24,4134.76,4108.94,4117.98,4117.98,112760000
2024-01-10,4117.72,4130.74,4108.96,4130.02,4130.02,134950000
2024-01-09,4092.98,4123.93,4092.75,4117.72,4117.72,150950000
2024-01-08,4088.84,4098.46,4081.30,4089.40,4089.40,88500000
2024-01-04,4079.42,4094.94,4076.25,4087.35,4087.35,95880000
2024-01-03,4091.05,4109.28,4076.30,4077.58,4077.58,154730000
2024-01-02,4060.72,4091.08,4041.25,4091.05,4091.05,133800000
2023-12-28,4037.40,4059.73,4034.22,4049.53,4049.53,67280000
2023-12-27,4030.72,4039.18,4020.21,4038.32,4038.32,86040000
2023-12-26,4017.22,4028.88,4013.56,4028.88,4028.88,67030000
2023-12-25,4023.85,4025.41,4005.51,4018.14,4018.14,36610000
2023-12-21,4013.76,4019.09,3994.14,4005.32,4005.32,37710000
2023-12-20,3997.58,4018.48,3991.81,4014.28,4014.28,58770000
2023-12-19,3990.60,3999.57,3985.43,3997.58,3997.58,51720000
2023-12-18,4001.10,4007.50,3985.43,3990.60,3990.60,90720000
2023-12-14,3942.05,3989.69,3940.34,3982.07,3982.07,184200000
2023-12-13,3936.76,3961.59,3931.95,3939.31,3939.31,117190000
2023-12-12,3934.52,3942.36,3918.39,3937.28,3937.28,68450000
2023-12-11,3949.69,3949.69,3928.14,3934.52,3934.52,120640000
2023-12-07,3970.09,3974.45,3942.26,3956.26,3956.26,99770000
2023-12-06,3978.20,3984.65,3964.64,3969.17,3969.17,85660000
2023-12-05,3992.32,3992.32,3955.30,3978.20,3978.20,83410000
2023-11-30,3999.58,4008.18,3990.75,3992.36,3992.36,135440000
2023-11-29,4008.61,4020.63,3993.68,3999.58,3999.58,102760000
2023-11-28,3998.25,4009.47,3995.72,4008.61,4008.61,114910000
2023-11-27,3992.00,3998.19,3982.82,3994.59,3994.59,108690000
2023-11-23,3996.99,3997.50,3976.16,3984.99,3984.99,65110000
2023-11-22,3985.04,3996.99,3978.98,3996.99,3996.99,60200000
2023-11-21,4007.02,4011.09,3981.21,3985.04,3985.04,106690000
2023-11-20,3994.54,4006.89,3982.57,4002.44,4002.44,73750000
2023-11-16,3960.77,3987.44,3956.44,3984.52,3984.52,113040000
2023-11-15,3973.21,3984.66,3942.74,3960.77,3960.77,162900000
2023-11-14,3985.67,3999.84,3970.04,3973.21,3973.21,99070000
2023-11-13,3970.19,3991.30,3963.65,3982.93,3982.93,160190000
2023-11-09,3965.21,3968.86,3926.03,3929.41,3929.41,108690000
2023-11-08,3990.63,3997.68,3958.08,3965.21,3965.21,118450000
2023-11-07,3958.79,3989.92,3950.96,3989.71,3989.71,109960000
2023-11-06,3929.29,3962.40,3924.62,3956.96,3956.96,109120000
2023-11-02,3894.38,3925.88,3893.11,3913.42,3913.42,130770000
2023-11-01,3879.83,3895.17,3856.29,3892.55,3892.55,113830000
2023-10-31,3840.59,3880.73,3840.59,3877.08,3877.08,140870000
2023-10-30,3789.30,3843.04,3778.42,3838.76,3838.76,210340000
2023-10-26,3846.61,3862.45,3776.33,3782.04,3782.04,100690000
2023-10-25,3744.25,3841.53,3744.25,3841.12,3841.12,153970000
2023-10-24,3732.65,3784.80,3732.65,3741.51,3741.51,118190000
2023-10-23,3753.40,3787.12,3729.62,3729.91,3729.91,121730000
2023-10-19,3882.15,3903.95,3808.14,3808.25,3808.25,142660000
2023-10-18,3940.20,3951.96,3876.90,3883.06,3883.06,141670000
2023-10-17,3947.01,3963.36,3935.18,3937.46,3937.46,176130000
2023-10-16,3965.97,3984.18,3932.02,3943.35,3943.35,150780000
2023-10-12,4084.07,4084.07,4050.23,4057.20,4057.20,138250000
2023-10-11,4050.21,4094.41,4041.81,4082.24,4082.24,111610000
2023-10-10,4055.13,4094.41,4046.77,4051.12,4051.12,204400000
2023-10-09,4161.87,4161.87,4039.62,4056.04,4056.04,205860000
2023-10-05,4192.29,4205.12,4141.91,4142.92,4142.92,401510000
2023-10-04,4200.93,4210.15,4168.91,4192.29,4192.29,261830000
2023-10-03,4183.14,4207.21,4179.20,4201.84,4201.84,207410000
2023-10-02,4163.58,4190.16,4161.88,4183.14,4183.14,238380000
2023-09-28,4143.03,4177.86,4140.22,4163.58,4163.58,134930000
2023-09-26,4183.89,4183.89,4144.54,4154.11,4154.11,135570000
2023-09-25,4168.55,4193.94,4167.77,4182.06,4182.06,111540000
2023-09-21,4138.40,4179.95,4133.18,4179.68,4179.68,230690000
2023-09-20,4074.72,4138.55,4070.65,4138.40,4138.40,217640000
2023-09-19,4046.59,4074.83,4044.49,4074.72,4074.72,87990000
2023-09-18,4042.88,4050.51,4033.67,4048.42,4048.42,88000000
2023-09-14,4053.38,4065.02,4039.04,4034.00,4034.00,86040000
2023-09-13,4063.69,4065.02,4045.89,4060.95,4060.95,81900000
2023-09-12,4071.08,4082.01,4045.89,4060.95,4060.95,119970000
2023-09-11,4067.96,4074.58,4047.46,4060.17,4060.17,90000000
2023-09-07,4037.87,4061.31,4031.45,4058.95,4058.95,112480000
2023-09-06,4053.42,4053.42,4028.59,4037.87,4037.87,118370000
2023-09-05,4071.39,4078.70,4043.73,4053.42,4053.42,112780000
2023-09-04,4092.78,4098.92,4052.04,4068.54,4068.54,104380000
